appid,review
388880,"This game took me completely by surprise and messed with my brain completely, really enjoyed it."
334230,"Hands down one of the most enjoyable experiences ive had by far. I have like 2000 hours on my phone as well. The only thing I dont like is how toxic some matches can be for no reason, and how the game stops working every few matches or so. With a quick fix it would be a 8/10. I still recommend it. 7/10"
383870,Really good story and soundtrack. The game felt like an enjoyable movie and doesn't stretch on too long. Amazing purchase for $5
272270,"Clearly this game does not appeal to everyone.  There *is* quite a lot of dialog.  It's certainly hooked me, though.  I'm most of the way through my first play through and I'm positive this will not be the only one.  Maybe not worth the full price but grab it on sale.  I logged 17 hours during the free weekend and followed it up with a purchase at just under $20. 

No regrets.   +++"
377160,please let me become a deathclaw in one of the dlcs
582160,gute
359550,"Tom Clancy's: Scream At Your Friends Six - Siege

Good Game but you can lose a lot of your mates."
362890,They clearly have done their over 16 years. I'm very happy with all of this.
105600,"This Game Is So Good Espescially if you have friends to play it with also, you can play this game for so long and the amount of content and bosses is insane and anyone who compares this to minecraft has probably never played this game before. For sure buy this game!"
242680,eddie
275850,"The game have received tremendous amount of improvements and updates, hello games did a very good job!"
227300,Very good and precise simulator! Relaxing and fun!
400,"Best game ever. Or one of them, anyway."
394690,"The arcade experience is awesome, and I recommend you bring your friends along!"
105600,Sandbox minecraft-esque 2d sidescroller that turns into an adventuring platformer later on. Fucking awesome.
268650,"Harder than dank souls until you get used to it, but there is nopthing more rewarding than watching your gun sub shred a marauder."
319910,"I absolutely loved Trine 1 and Trine 2. Unfortunately, I'm with the majority of the people saying that the 3D kinda messed up the game play. I found it rather frustrating and it wasn't as fun as the first two. If Trine 4 goes back to it's roots I will definitely buy it."
447040,This game is nothing compare to GTA! Buy it when there's discount because its not worth very much!
339800,"The cat says she is 1 years old, which if I recall correctly, relates to 5 years old as a human... I was so disgusted by this that I gave up on mathematics."
413150,really fun farming game for all sorts of people.  If you liked harvest moon you will like this.  Very appealing even to people who wouldnt consider themselves to be gamers.
368340,"A really great single player experince with an intresting story, the combat system is really well done, the sound track is brilliant and the difficulty is spot on"
